Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
10	0	-267.9017	-260.2128	-7.68892	2.42023	2.912792	0.0155554	0.0284906	0.0208029	0.0561214	0.078069	0.00154688	0.00276688	0.0136696	0.144476	0.0126149	0.00363902	0.0201583	0.143318	0.0686558	0.00185051	0.147191	0.00337541	0.019098	0.0512132	0.0223721	0.254429	0.0542203	0.0276341	0.0587531	0.0101383	0.000779037	0.0253993	0.0465145	0.00645488	0.0151842	0.0095028	0.0107256	0.0833651	0.0198983	0.0355298	0.104736	0.0184587	0.123202	0.0429355	0.0079715	0.0142709	0.164324	0.0113676	0.123518	0.0271662	0.0333632	0.138067	0.610453	0.06599835	0.07147365	0.0653981	0.00665273	0.107945	0.108006	0.126711	0.0419227	0.0706488	0.0387198	0.00732262	0.0760368	0.0606385	0.0912686	0.0708142	0.113077	0.0148379	0.4076232	8	20.02982	0.1284717	0.382401	0.726582	1.08205	1.80897	0.177785	0.231929	0.180075	0.0708534	0.272455	0.0669025	0.4790968	0.8508158
11	0	-289.6993	-262.7745	-26.92482	1.388485	3.189057	0.0278935	0.143112	0.0101033	0.00148773	0.00437264	0.0169095	0.0404663	0.242318	0.0790517	0.239905	0.0799906	0.0152799	0.207709	0.0219495	0.160707	0.0161098	0.000829649	0.00408717	0.00580589	0.0367451	0.00641911	0.0146484	0.041787	0.0954852	0.257684	0.00415127	0.0651139	0.0113456	0.265031	0.429003	0.268678	0.067712	0.00327948	0.0104093	0.21218	0.00943033	0.0596464	0.0362365	0.00261314	0.00330043	0.0301663	0.200974	0.04751	0.0068939	0.0500899	0.00513275	0.0111593	0.0302749	0.0943936	-0.02562204	0.0175239	0.0120351	0.188421	0.00106511	0.0696341	0.0542384	0.105067	0.0326916	0.0462672	0.139549	0.00532642	0.070555	0.0521413	0.0387488	0.166736	0.3717521	8	33.23664	0.1391011	0.403379	0.741486	1.0833	1.77183	0.221765	0.136284	0.137339	0.0739157	0.341313	0.0893828	0.3461301	1.074024
12	0	-254.486	-252.5672	-1.918893	3.366159	2.92332	0.0403252	0.005221	0.0658375	0.016664	0.03529	0.0115851	0.0422757	0.0348418	0.0824251	0.00769368	0.00992027	0.0140356	0.186978	0.0144124	0.00138856	0.0569803	0.048637	0.0132424	0.00288769	0.00754167	0.11192	0.0630828	0.00120041	0.0383076	0.0249591	0.00354309	0.0760151	0.00609734	0.0084144	0.0434602	0.00836055	0.00139716	0.00842213	0.013062	0.0742832	0.344076	0.0390562	0.0373224	0.011142	0.0950404	0.0113589	0.000987541	0.0544541	0.0826443	0.0131794	0.0283636	0.0120206	0.362455	0.0483281	0.05151933	0.0546736	0.00189699	0.0463472	0.0391423	0.0869383	0.0315016	0.0521106	0.0878774	0.0634673	0.0727165	0.000930059	0.154055	0.00661429	0.173926	0.127803	0.4791428	10	20.58135	0.1084684	0.383241	0.727192	1.08211	1.80746	0.179074	0.262643	0.186539	0.122913	0.167168	0.0816626	0.5306622	0.902915
13	0	-280.9561	-257.9944	-22.96166	2.433613	3.544311	0.111467	0.0147495	0.0101332	0.0351877	0.0409619	0.0346984	0.0443044	0.00115812	0.315982	0.147436	0.0142508	0.0990016	0.154034	0.0242222	0.0433746	0.0257169	0.0907889	0.0639705	0.0465634	0.00944481	0.0542931	0.170887	0.060348	0.179833	0.00922332	0.0747894	0.113825	0.010624	0.0282914	0.0104276	0.0128104	0.00120338	0.168082	0.0973201	0.00128927	0.0954032	0.0559007	0.16051	0.0124433	0.0452525	0.0950637	0.00439782	0.0106142	0.0346066	0.00898528	0.0985614	0.154203	0.797995	0.07532052	0.06737044	0.0342972	0.00341984	0.164853	0.0445062	0.0185499	0.0049935	0.0489805	0.0289572	0.0904569	0.211071	0.00432964	0.0743336	0.0269434	0.193735	0.0505721	0.3945904	9	18.49842	0.1527138	0.427431	0.757814	1.08414	1.73061	0.204318	0.284012	0.128801	0.0769969	0.223555	0.0823166	0.4619608	0.8541642
14	0	-290.1752	-270.324	-19.85121	2.080931	2.207316	0.050191	0.0204715	0.00715593	0.00681193	0.0178735	0.173011	0.00371354	0.10073	0.0984324	0.267463	0.164363	0.0510274	0.099547	0.00568356	0.0597991	0.0123451	0.0291692	0.0281165	0.0531848	0.00407656	0.00882412	0.116428	0.00291527	0.262391	0.0274771	0.0546565	0.127863	0.0667308	0.0184773	0.013289	0.0253465	0.0329162	0.0614589	0.00928671	0.121816	0.120176	0.0166115	0.183178	0.0152714	0.0220908	0.375597	0.00635279	0.0058165	0.0395875	0.0876431	0.091186	0.28674	0.800997	0.07335222	-0.0467596	0.0639036	0.0162862	0.0434933	0.0609116	0.0322043	0.00536702	0.112499	0.10832	0.0441554	0.129439	0.0196196	0.136759	0.00138284	0.210827	0.0148321	0.605924	8	13.86483	0.0787362	0.316827	0.675392	1.07441	1.93338	0.166993	0.242896	0.146838	0.11272	0.243555	0.0869974	0.5591644	1.083624
15	0	-298.459	-266.6168	-31.84214	5.147959	3.193918	0.0228802	0.0364429	0.0314736	0.023962	0.163384	0.127414	0.0250269	0.103914	0.0999195	0.131641	0.0542386	0.0241255	0.0259188	0.0626438	0.000556043	0.011776	0.0111049	0.00290331	0.0205514	0.0208823	0.206111	0.590694	0.0200004	0.169385	0.0430787	0.0445411	0.273765	0.36184	0.141224	0.151422	0.0791267	0.105457	0.278089	0.00671919	0.0212612	0.00565722	0.161821	0.0624601	0.00309937	0.0489048	0.229646	0.0205674	0.011954	0.0234776	0.0899263	0.0269678	0.0417903	0.224493	0.09483651	0.07296161	0.0886095	0.0227244	0.104128	0.07194	0.0272523	0.0265499	0.0799969	0.077445	0.00107304	0.142045	0.0345578	0.14053	0.0308203	0.0638197	0.0885079	0.4748421	8	16.04881	0.1816755	0.403729	0.741729	1.08332	1.77122	0.220027	0.246919	0.154934	0.126381	0.179921	0.0718175	0.5478037	0.8668107
16	0	-316.6799	-255.8887	-60.79122	2.050421	4.005789	0.0511233	0.100303	0.169622	0.0100714	0.0941671	0.0983776	0.0209406	0.156907	0.610045	0.247853	0.208128	0.0910661	0.429887	0.0527624	0.107885	0.0157512	0.0514378	0.00767299	0.20352	0.0394453	0.414323	0.683148	0.0300156	0.52283	0.0150263	1.41959	0.212925	0.00314653	0.0243644	0.0448774	0.336803	0.206912	0.582795	0.0198909	0.0678065	0.131184	0.00223162	0.0947973	0.109678	0.0106733	0.07661	0.094135	0.0466059	0.0467342	0.0311902	0.00921266	0.022336	0.166535	0.163218	0.05874342	0.0755301	0.0296921	0.0363102	0.0126625	0.138519	0.00815567	0.0932365	0.0339348	0.0266894	0.0997011	0.0263255	0.0409824	0.0355764	0.143817	0.198867	0.2893696	10	20.3013	0.1478044	0.45468	0.775409	1.0844	1.68551	0.16506	0.206372	0.212539	0.102758	0.213349	0.0999215	0.348113	0.8312519
17	0	-296.2926	-263.9349	-32.35765	1.773697	1.433377	0.0206944	0.0238807	0.0218351	0.0146446	0.112254	0.291362	0.217263	0.157775	0.122037	0.276253	0.038027	0.0374369	0.081559	0.306588	0.192913	0.044204	0.0273352	0.044213	5.47246e-05	0.0935643	0.145855	0.0888207	0.071628	0.48814	0.0202165	0.0662555	0.0113534	0.0481437	0.0108006	0.027348	0.00790248	0.00846764	0.123065	0.0176097	0.0573938	0.030524	0.34463	0.0982418	0.0611724	0.0761917	0.0961667	0.0980971	0.335853	0.127256	0.0908961	0.0766411	0.0317479	0.828813	0.0968525	0.004961254	0.0663993	0.0667003	0.117397	0.0507697	0.060879	0.0112267	0.0463822	0.0531524	0.0635409	0.0894355	0.0107599	0.158038	0.00806283	0.0132924	0.183964	0.6791637	10	16.18213	0.1291311	0.214845	0.577078	1.04626	2.16182	0.152796	0.28588	0.204315	0.106596	0.199374	0.0510382	0.684125	0.992748
18	0	-276.4725	-256.88	-19.59251	1.545512	3.046863	0.00870096	0.150255	0.0646622	0.0533484	0.0398543	0.00454665	0.0253054	0.355178	0.0947547	0.259179	0.042084	0.0793782	0.0534691	0.0187126	0.00120655	0.189778	0.0635555	0.017857	0.0633112	0.0274955	0.000801642	0.0720787	0.0229795	0.0781027	0.0197756	0.0764585	0.0727693	0.0445646	0.00474449	0.0282288	0.0582963	0.0125228	0.0245398	0.0171822	0.275472	0.00601253	0.158182	0.000943444	0.000183579	0.244584	0.134616	0.125943	0.0211993	0.0376796	0.0503984	0.00614004	0.0509279	0.0431829	0.06748906	-0.06323494	0.0403412	0.00651544	0.110212	0.00613153	0.0962795	0.0482162	0.0916619	0.00888212	0.0409802	0.0885252	0.00848179	0.0918452	0.0126559	0.148	0.201272	0.6847524	10	23.81871	0.140504	0.392855	0.73409	1.08274	1.79032	0.225408	0.205278	0.131584	0.0911253	0.275215	0.0713899	0.6215174	1.101743
19	0	-293.6987	-268.0503	-25.64844	4.343362	2.94859	0.349034	0.071332	0.0452922	0.0158735	0.0297746	0.000258406	0.00470589	0.0841812	0.338518	0.0651925	0.205715	0.0203006	0.0499686	0.123593	0.277868	0.0101377	0.000792699	0.00645741	0.0376279	0.00447874	0.0882483	0.0714219	0.0623427	0.214538	0.0319323	0.00731478	0.396006	0.00541234	0.0171753	0.0191898	0.00595567	0.0712212	0.376097	0.00289939	0.0488697	0.0538678	0.0203396	0.00392258	0.0762088	0.205426	0.0930593	0.0584911	0.309343	0.14302	0.00102004	0.078423	0.0283866	0.149832	0.08257489	0.09296166	0.0233914	0.021012	0.0626507	0.0359666	0.00563849	0.000870344	0.0105731	0.0438799	0.0378443	0.0686793	0.153397	0.0505343	0.0748215	0.0819583	0.328783	0.4650056	10	16.27518	0.1228593	0.385245	0.728641	1.08225	1.80386	0.156548	0.239634	0.165348	0.151066	0.205283	0.0821205	0.5579673	0.8333923
20	0	-284.8143	-257.0939	-27.72038	0.524322	4.648527	0.0161786	0.0154624	0.00709032	0.198772	0.195853	0.0277914	0.000263341	0.0082594	0.590713	0.00429495	0.0286281	0.241335	0.0786968	0.00190733	0.0581942	0.0503332	0.00937466	0.153452	0.166405	0.109581	0.0750893	0.0812518	0.094771	0.0235825	0.0123258	0.0332526	0.0923412	0.0917752	0.00887716	0.0147095	0.0083569	0.207932	0.000806914	0.0678506	0.249001	0.361886	0.0431926	0.0478076	0.00202623	0.322049	0.0569003	0.0138331	0.316058	0.0189272	0.0661747	0.0620542	0.00432163	0.0342279	0.1076882	0.05838868	0.0219038	0.005117	0.0970488	0.00349211	0.0715825	0.0195529	0.0485228	0.0705871	0.114381	0.0332478	0.0286562	0.244384	0.0100564	0.136858	0.0946095	0.4653215	12	18.53941	0.1182748	0.486791	0.79502	1.08386	1.63433	0.242404	0.175885	0.207189	0.13706	0.177757	0.0597041	0.5237102	0.8885096
21	0	-282.9469	-263.2673	-19.67968	2.096631	3.66666	0.0487844	0.408197	0.0650802	0.065946	0.0354875	0.0164161	0.0737611	0.0171762	0.0362575	0.174317	0.00942442	0.0159326	0.0952327	0.025349	0.0177316	0.0218257	0.00575382	0.043052	0.0163653	0.0157391	0.224425	0.00704191	0.0119916	0.251594	0.000116769	0.226734	0.184189	0.39369	0.051742	0.0904829	0.0773872	0.119433	0.341678	0.0440564	0.0196168	0.0144791	0.0411362	0.0128887	0.0287099	0.0120504	0.0303644	0.0735714	0.0771265	0.010139	0.00635615	0.00119672	0.0148068	0.0903774	0.0911689	0.0749826	0.0374638	0.0145475	0.0878799	0.0586467	0.0556519	0.0353275	0.0343007	0.113435	0.0665086	0.142859	0.0752496	0.215718	0.00942333	0.00122098	0.051768	0.6004849	8	17.76128	0.1360546	0.435057	0.762831	1.08429	1.71783	0.169541	0.283062	0.225165	0.11231	0.164432	0.0454893	0.6754675	0.8889915
22	0	-298.432	-262.0462	-36.38585	1.460589	4.97585	0.0602746	0.0283805	0.00495072	0.0255584	0.401871	0.0724158	0.0989585	0.0191871	0.172575	0.246015	0.0628174	0.0573352	0.491884	0.000636457	0.0081283	0.00327161	0.0469998	0.0514622	0.0906852	0.00478114	0.0361106	0.124113	0.141026	0.0229579	0.139452	0.442255	0.258469	0.0189873	0.0644413	0.158753	0.107952	0.0765659	0.537181	0.0116845	0.062708	0.0200226	0.117929	0.00275073	0.0538659	0.0653767	0.026703	0.00848513	0.154761	0.0350069	0.0455606	0.069905	0.0289066	0.20659	0.1006813	-0.1383808	0.0175239	0.0166676	0.10971	0.0722954	0.069394	0.0145408	0.0545716	0.0131886	0.016093	0.158267	0.0120445	0.154489	0.142982	0.105252	0.0429809	0.5905935	9	16.28763	0.1531622	0.501072	0.803379	1.08334	1.61221	0.195834	0.352312	0.105589	0.103427	0.182383	0.0604549	0.4522127	1.306008
23	0	-296.0776	-258.8577	-37.2199	1.500836	2.46607	0.0347317	0.0523083	0.106413	0.00563271	0.22746	0.00848645	0.155582	0.73629	0.135399	0.209557	0.0277515	0.139809	0.120547	0.0828815	0.00662752	0.0969718	0.00175999	0.329773	0.0413485	0.0603904	0.153012	0.00801699	0.019761	0.144928	0.0505808	0.0620302	0.00697763	0.0880473	0.0245363	0.032901	0.0470071	0.0111959	0.152917	0.00563335	0.279864	0.0408413	0.00191103	0.489534	0.0168994	0.13759	0.06574	0.017316	0.0227057	0.349386	0.037971	0.219722	0.56487	0.015509	0.1438753	0.02093799	0.0591251	0.000468983	0.0614805	0.00154881	0.0487429	0.0658167	0.0628823	0.0746652	0.0368625	0.0491587	0.0591693	0.0826279	0.00281298	0.243586	0.151053	0.7271462	10	15.3791	0.1143279	0.343216	0.696902	1.07823	1.88165	0.199504	0.21811	0.236725	0.104373	0.174245	0.0670425	0.7480841	0.9720112
24	0	-272.2512	-262.4601	-9.791092	1.772179	6.772906	0.016816	0.032905	0.10735	0.0744037	0.0396924	0.0245507	0.010432	0.102293	0.0248992	0.129008	0.0532229	0.0467145	0.0207719	0.0108751	0.0125075	0.00451173	0.0119866	0.000918282	0.109991	0.0180795	0.0566704	0.0297475	0.0347194	0.00943015	0.0102348	0.0146621	0.00925497	0.0848574	0.00660108	0.0046184	0.0155584	0.0295284	0.0544223	0.0495846	0.0514602	0.00960259	0.00798168	0.269422	0.00416149	0.176521	0.00316673	0.115472	0.00302047	0.0765547	0.0275943	0.0403327	0.0600571	0.19281	0.04035187	0.09785399	0.0698865	0.0296121	0.0359628	0.0570953	0.0584693	0.0465963	0.0730837	0.0271053	0.025764	0.0245986	0.0333032	0.354249	0.07159	0.0677008	0.0249836	0.3870032	9	23.09982	0.09254753	0.562371	0.83697	1.07948	1.52118	0.166937	0.186625	0.128794	0.113291	0.343351	0.061003	0.4848572	0.7981798
25	0	-268.5656	-264.285	-4.280552	2.243362	2.322947	0.199847	0.00203892	0.0206733	0.0184911	0.00749493	0.0306325	0.0108876	0.008844	0.212856	0.137175	0.0279402	0.0536481	0.0469702	0.00256124	0.105442	0.0596077	0.0692061	0.000117547	0.00921354	0.00757213	0.000692479	0.0312844	0.0576667	0.0137804	0.0234682	0.0207575	0.0018734	0.0142326	0.120089	0.00377777	0.0142413	0.0282535	0.0957488	0.0511456	0.221545	0.0411423	0.00161117	0.197798	0.00828399	0.0844935	0.0261636	0.00859442	0.00661856	0.32784	0.0458715	0.0190598	0.0485618	0.00138862	0.04856072	-0.04834571	0.0736154	0.00703433	0.121518	0.11002	0.0379511	0.00888275	0.0841285	0.0427447	0.0987238	0.177351	0.0690711	0.109812	0.00863977	0.0105389	0.0399689	0.4756344	8	18.09818	0.09926912	0.329001	0.685479	1.07631	1.90921	0.230199	0.150708	0.158564	0.0677461	0.302692	0.090091	0.4272887	1.113145
