Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates[55]	branch_rates[56]	branch_rates[57]	branch_rates[58]	branch_rates[59]	branch_rates[60]	branch_rates[61]	branch_rates[62]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
10	0	-437.6318	-362.4297	-75.20207	18.77395	5.78891	0.048813	0.0234376	0.241566	0.0113928	0.0294236	0.0183397	0.00148328	0.0429434	0.00448348	0.279732	0.0580109	0.0522658	0.00268766	0.0294388	0.00935784	0.0414878	0.0139009	0.0144092	0.114521	0.0115947	0.0147423	0.0195514	0.0453895	0.0174747	0.0774023	0.0364117	0.0222583	0.281539	0.0715602	0.00420298	0.0908796	0.0748703	0.217732	0.10074	0.00573001	0.0383827	0.030265	0.052794	0.0583384	0.14186	0.0259446	0.0260325	0.000972009	0.337041	0.165598	0.180987	0.0823402	0.0318745	0.276549	0.165906	0.0678345	0.0129858	0.064891	0.00585472	0.134476	0.335046	0.378833	0.0979099	0.014328	0.1022	0.064398	0.108664	0.06953352	0.0568576	0.0845787	0.0315413	0.0746418	0.0798839	0.0183841	0.0310264	0.0539787	0.00290156	0.133527	0.0448704	0.156883	0.059099	0.0773233	0.129467	0.021893	0.3979957	12	50.85342	0.1049522	0.531874	0.820705	1.08173	1.5657	0.161748	0.113951	0.154554	0.0839153	0.300425	0.185407	0.4548533	0.8749979
11	0	-449.0577	-364.5714	-84.48629	25.45089	4.656233	0.0439904	0.0285451	0.472807	0.0413517	0.051787	0.0176142	0.068239	0.00310243	0.072004	0.429858	0.0155274	0.104271	0.0352128	0.0132725	0.0442503	0.0685108	0.00866751	0.0185812	0.0424513	0.00954337	0.0282981	0.0180939	0.129326	0.0700006	0.00138638	0.082264	0.0700166	0.0215191	0.302669	0.0267892	0.201814	0.00696419	0.00700856	0.16714	0.162053	0.00158158	0.154474	0.0063945	0.161133	4.30084e-05	0.463792	0.0237228	0.039596	0.0500372	0.0215904	0.0892587	0.282467	0.0634818	0.0998635	0.160446	0.0691992	0.299192	0.0410442	0.00325318	0.348239	0.492617	0.0992463	0.0913822	0.0169461	0.0130851	0.167603	0.120317	0.1068073	-0.003815477	0.177461	0.132518	0.0656833	0.0163034	0.00174718	0.078514	0.0211368	0.062634	0.172557	0.0269958	0.15389	0.0150637	0.027738	0.0423258	0.00543204	0.5398076	12	50.37242	0.06083516	0.487142	0.795228	1.08384	1.63379	0.153137	0.128596	0.148432	0.0905219	0.325801	0.153512	0.5359921	1.007119
12	0	-448.6993	-370.1567	-78.54263	20.81948	3.220666	0.0131098	0.102474	0.0559358	0.0678684	0.0728561	0.0193607	0.128834	0.000591951	0.0126684	0.426998	0.114689	0.0247505	0.0404518	0.0364872	0.12821	0.0203165	0.044472	0.277808	0.0411719	0.00730355	0.0225592	0.0346095	0.124589	0.0025221	0.0158868	0.0151308	0.180363	0.236515	0.225613	0.0276325	0.0482552	0.142383	0.0810552	0.133317	0.064272	0.0652046	0.00378278	0.0874966	0.0736398	0.191275	0.128484	0.00166322	0.0161453	0.0823666	0.119241	0.444456	0.12764	0.0470853	0.059079	0.208858	0.121311	0.0133694	0.141979	0.0132377	0.0974915	0.137545	0.182461	0.0067127	0.00932724	0.0263129	0.122812	0.0108793	0.09400584	0.03858237	0.0559832	0.0647253	0.0718675	0.06293	0.12761	0.0407271	0.00889628	0.0271383	0.248664	0.0128232	0.121963	0.0220895	0.0269829	0.0716319	0.0359683	0.4738472	12	50.96007	0.07558165	0.405644	0.743057	1.08341	1.76789	0.193497	0.110982	0.228218	0.076371	0.272066	0.118865	0.5124295	0.924707
13	0	-456.5201	-360.9487	-95.5714	15.71434	5.253874	0.0518689	0.034473	0.352587	0.00256118	0.0867599	0.0136993	0.00876785	0.0115976	0.00304469	0.280028	0.0826362	0.0569579	0.0733804	0.0442769	0.247845	0.0111636	0.0225383	0.003716	0.0958029	0.287707	0.245415	0.00713629	0.0330493	0.11236	0.248582	0.12228	0.409015	0.471425	0.0382071	0.00550954	0.0154144	0.0315517	0.399014	0.694576	0.455879	0.0172981	0.00207709	0.136104	0.0706046	0.217188	0.0695257	0.00717363	0.0618548	0.158311	0.0366909	0.0514245	0.0459928	0.389964	0.0409592	0.336532	0.0119125	0.0723338	0.0705475	0.114737	0.0102094	0.892485	0.194493	0.0533064	0.0131535	0.0949774	0.0437776	8.75725e-05	0.1268977	0.02364482	0.0441394	0.0498396	0.0681703	0.0262711	0.0578085	0.0998419	0.00644392	0.0101607	0.175234	0.0627648	0.0973103	0.0427518	0.0249793	0.15157	0.0827142	0.5052307	13	50.97839	0.09543939	0.512292	0.809799	1.08283	1.59508	0.18192	0.142596	0.161696	0.0885853	0.301206	0.123997	0.5288755	0.9552923
14	0	-445.996	-354.3532	-91.64286	17.39602	4.659177	0.133498	0.0766265	0.0889642	0.00808345	0.0497227	0.0239518	0.276243	0.0482683	0.0111236	0.255835	0.0537271	0.0148046	0.00885693	0.137371	0.135312	0.0129485	0.0126995	0.154424	0.143989	0.157152	0.0335183	0.0814947	0.0559658	0.0581386	0.00146456	0.00508082	0.176597	0.0360074	0.014294	0.0140059	0.00678591	0.343391	0.0310539	0.156734	0.0227219	0.00570855	0.0139998	0.0194973	0.0106544	0.0357607	0.365845	0.100412	0.0353312	0.514393	0.00784961	0.667153	0.298277	0.193662	0.0489744	0.340451	0.0499643	0.246968	0.18019	0.025695	0.338816	0.23537	0.132113	0.0528253	0.101231	0.00992524	0.274943	0.00312041	0.1251972	0.08248249	0.0231374	0.0766972	0.112378	0.0581164	0.0953978	0.0699394	0.029149	0.00703824	0.154405	0.046326	0.0834371	0.00076816	0.075234	0.0924986	0.0754773	0.6499766	11	51.31502	0.1064031	0.487275	0.795307	1.08384	1.63358	0.14311	0.141662	0.270281	0.063626	0.283127	0.0981939	0.7324591	0.8873896
15	0	-448.4966	-364.1087	-84.38781	16.29524	6.337675	0.187742	0.0239848	0.316868	0.0246966	0.0133606	0.0299984	0.00247928	0.0752342	0.064813	0.252751	0.194916	0.0830055	0.0324697	0.0137698	0.0808993	0.0717519	0.0116316	0.456828	0.191182	0.00213667	0.0705542	0.0126747	0.0733514	0.033135	0.0215707	0.248686	0.0984359	0.182716	0.0213009	0.056569	0.18926	0.148857	0.0444207	0.0119584	0.2365	0.0730886	0.0239457	0.0946636	0.134642	0.0238676	0.374705	0.042504	0.0118576	0.0334421	0.0451731	0.00338273	0.611824	0.265395	0.0194803	0.260435	0.00068857	0.231388	0.0106342	0.0471479	0.261126	0.467248	0.0960296	0.0636453	0.00108059	0.126053	0.187346	0.0299976	0.1275176	0.1122186	0.0282228	0.0925239	0.0879014	0.130707	0.0494623	0.0465778	0.0396093	0.00876589	0.0425627	0.0420337	0.131336	0.0115997	0.0244612	0.177754	0.086482	0.5146291	15	51.13021	0.1007141	0.549652	0.83029	1.08049	1.53957	0.174213	0.169	0.230612	0.0669308	0.230219	0.129025	0.6268477	0.8209795
16	0	-430.2947	-369.6784	-60.61632	14.49368	3.898552	0.0642717	0.0460811	0.149768	0.0106684	0.00509171	0.0454281	0.0538095	0.0262567	0.00585443	0.299309	0.018935	0.027965	0.000733195	0.109831	0.0325106	0.0122528	0.000240391	0.134664	0.0426928	0.00535191	0.0227007	0.0966799	0.116852	0.163993	0.0589527	0.0131174	0.0999607	0.0174864	0.082419	0.00270936	0.0118382	0.0548536	0.12816	0.174911	0.0896002	0.0113594	0.0266683	0.160343	0.00333319	0.113678	0.0622748	0.010538	0.116601	0.0350563	0.00228757	0.227674	0.0407782	0.193881	0.149078	0.251868	0.0491784	0.015419	0.0157074	0.0382885	0.032664	0.300675	0.00726555	0.00308036	0.0894774	0.00799758	0.222236	0.0394098	0.08325831	-0.1200913	0.175743	0.0839995	0.166116	0.0600758	0.011533	0.0539428	0.0353027	0.00689916	0.102326	0.00989122	0.0940031	0.0651248	0.0153377	0.100521	0.0191832	0.6153683	11	53.66185	0.1081597	0.448701	0.771626	1.0844	1.69527	0.123369	0.0876835	0.239042	0.0966429	0.274634	0.178629	0.495277	1.242473
17	0	-427.1721	-371.3031	-55.86901	17.63039	3.250049	0.0260506	0.0382902	0.44448	0.024767	0.033829	0.00556402	0.0140059	0.0344518	0.023763	0.0687148	0.000706403	0.0266451	0.0652443	0.0245413	0.0150371	0.079371	0.0713688	0.0712323	0.141833	0.0223561	0.012691	0.0246433	0.122058	0.00893653	0.0159922	0.00484844	0.360076	0.0954563	0.00940108	0.0189945	0.0057813	0.0151671	0.0213299	0.202918	0.0557425	0.11957	0.0657761	0.00584766	0.0243362	0.0310635	0.10992	0.0728387	0.00601515	0.0100905	0.00935614	0.259188	0.0145016	0.098541	0.0143488	0.0862385	0.140354	0.15817	0.0208216	0.0182724	0.0550266	0.297515	0.0457029	0.10178	0.0323487	0.027809	0.074046	0.0235984	0.05594905	0.0004513121	0.0374448	0.0929271	0.194216	0.0376912	0.0414281	0.0884596	0.0150044	0.00114965	0.15477	0.00254847	0.0694579	0.0176014	0.0962467	0.120769	0.0302849	0.3514451	12	51.0933	0.104754	0.407726	0.744496	1.0835	1.76428	0.142681	0.160742	0.226304	0.0822844	0.207759	0.180229	0.3518964	0.9987175
18	0	-424.7695	-365.9065	-58.86296	16.92465	1.531266	0.0967514	0.0348325	0.328779	0.00964791	0.00828933	0.0261424	0.101469	0.0110303	0.0265272	0.325144	0.0070698	0.0423524	0.0520578	0.0504471	0.0022799	0.196852	0.0548217	0.00465495	0.0557126	0.0237079	0.00758134	0.0124958	0.00328228	0.00596145	0.0368838	0.0118689	0.071286	0.0141919	0.075046	0.00935184	0.223385	0.0349845	0.0184719	0.0098514	0.0348223	0.00242795	0.0230809	0.0363278	0.0495872	0.0198343	0.207706	0.0127722	0.00984997	0.0758485	0.0362474	0.00377514	0.0160451	0.0607388	0.113203	0.124446	0.130389	0.215063	0.0174589	0.00780067	0.0735038	0.135886	0.00731152	0.235123	0.0116969	0.0141569	0.162368	0.0556337	0.05256903	-0.1063458	0.139527	0.2027	0.0374286	0.135695	0.0367411	0.0770479	0.0256026	0.00173619	0.0651604	0.0499263	0.102099	0.0236968	0.00848148	0.0734304	0.0207278	0.6837459	11	53.67364	0.06530522	0.230112	0.593679	1.05221	2.124	0.0942762	0.147884	0.229226	0.128444	0.274524	0.125645	0.5774001	1.18418
19	0	-435.2236	-363.6529	-71.57067	12.36996	5.0549	0.107643	0.0351699	0.12262	0.0252651	0.020138	0.0138897	0.12974	0.0495521	0.00722362	0.183681	0.137703	0.113701	0.0734573	0.0238078	0.0565792	0.0037521	0.0688867	0.1037	0.0339955	0.266939	0.00421177	0.0774702	0.0338394	0.0255531	0.023273	0.182417	0.0922076	0.0501172	0.066844	0.0270315	0.0245136	0.105878	0.00771199	0.0555061	0.164501	0.0513743	0.363214	0.0345596	0.182021	0.000748533	0.344973	0.00117743	0.0101984	0.0092454	0.00922975	0.146682	0.00531758	0.18275	0.141883	0.528726	0.0503507	0.283775	0.129601	0.0320732	0.0902594	0.126539	0.110955	0.250924	0.0173208	0.0200454	0.0103581	0.00404288	0.07520593	0.03363588	0.1369	0.0959248	0.0704435	0.135967	0.146432	0.0518428	0.0453597	0.014807	0.147611	0.019418	0.0484444	0.00549989	0.00172818	0.0704118	0.00920935	0.5106429	14	51.54318	0.1009514	0.504342	0.805264	1.0832	1.60719	0.118324	0.089191	0.304227	0.148428	0.267283	0.072547	0.5442788	0.938201
20	0	-428.2292	-364.6976	-63.53155	28.23534	2.34159	0.026381	0.036907	0.387879	0.00722503	0.0220734	0.0444085	0.018395	0.0298548	0.0119524	0.138753	0.0303382	0.00315462	0.0425502	0.101277	0.0484267	0.00678843	0.00403088	0.120227	0.00952928	0.0582279	0.054683	0.00816319	0.116957	0.0159792	0.0107133	0.00543426	0.0185354	0.122425	0.0783322	0.00262732	0.0339875	0.0397464	0.00164373	0.0802995	0.07875	0.0332619	0.194833	0.0302264	0.111707	0.0301454	0.0191563	0.0101094	0.0219545	0.0456042	0.0182926	0.121527	0.0305343	0.175272	0.085884	0.099707	0.162735	0.119646	0.0176704	0.000703526	0.000856839	0.359238	0.0807975	0.457425	0.0577473	0.01767	0.142825	0.0194367	0.06862699	0.001516574	0.0473586	0.0987563	0.0462089	0.0402859	0.131837	0.0401022	0.0276871	0.0220261	0.174033	0.0543082	0.105805	0.0111885	0.0641232	0.0598783	0.0764022	0.2943304	9	52.40763	0.1275774	0.330904	0.687031	1.07658	1.90548	0.134664	0.153068	0.215976	0.0987433	0.248756	0.148792	0.2958469	0.9948738
21	0	-445.3731	-376.0867	-69.28644	22.09283	2.974824	0.0570212	0.0531055	0.0580212	0.00325747	0.126934	0.00590395	0.107755	0.0284281	0.0391901	0.145786	0.000591328	0.00706417	0.0933784	0.0352809	0.14961	0.0264492	0.056158	0.0334173	0.0209742	0.0106077	0.00650608	0.00583677	0.0710775	0.17616	0.00179741	0.00584189	0.182015	0.0309826	0.00293122	0.00931555	0.0698125	0.00576592	0.023391	0.0140158	0.0701922	0.00141432	0.235793	0.0252371	0.0331668	0.03523	0.284835	0.0168346	0.0040569	0.119961	0.00381088	0.162545	0.158678	0.0205952	0.0059565	0.241524	0.0358382	0.0800901	0.0146837	0.0266553	0.0204635	0.176137	0.354586	0.178122	0.00312502	0.0355235	0.330104	0.0349494	0.06805567	0.009890614	0.0486914	0.0549152	0.077237	0.090697	0.0182754	0.0319175	0.0576996	0.0287099	0.0127507	0.12889	0.23634	0.0122017	0.0151687	0.152575	0.033931	0.4294106	8	51.75994	0.06091363	0.387305	0.730124	1.08239	1.80018	0.16818	0.191733	0.19889	0.0599443	0.26881	0.112441	0.4393013	0.9774856
