Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
1000	-271.7078	-249.8695	-21.83828	1.949735	3.135436	0.0187746	0.0355561	0.0930236	0.0118128	0.00272589	0.00144984	0.0345105	0.00140294	0.0133624	0.00739857	0.00912229	0.000837395	0.0655065	0.0572789	0.0552049	0.00749652	0.00443007	0.120916	0.0471813	0.0177301	0.0025983	0.0842804	0.117098	0.00828346	0.0589337	0.114455	0.0655762	0.0594862	0.0172078	0.00783002	0.125029	0.00553986	0.000590788	0.00855049	0.0167132	0.00828721	0.10705	0.0369092	0.0058726	0.000758243	0.0119451	0.0177873	0.0927936	0.163018	0.00810469	0.22384	0.00201713	0.01968	0.05356789	0.03624472	0.0441142	0.0137568	0.107851	0.0259283	0.0763615	0.0170818	0.062173	0.0528155	0.023746	0.131357	0.00716158	0.0379126	0.118904	0.154858	0.125979	0.3746707	7	53.63036	0.04870637	0.399475	0.738761	1.08311	1.77866	0.207239	0.280476	0.132902	0.0723606	0.253651	0.0533712	0.4109154	0.9117952
1100	-287.3739	-250.7113	-36.66261	1.634337	3.961183	0.00805383	0.0548986	0.054938	0.0230811	0.0108667	0.107039	0.0653155	0.00954411	0.091578	0.162988	0.0101983	0.00518787	0.124659	0.0480715	0.064345	0.0201333	0.0439134	0.00953068	0.0192693	0.110974	0.0183592	0.152926	0.141708	0.00497974	0.00749092	0.00717336	0.0447877	0.126636	0.123793	0.0242471	0.0159828	0.0874079	0.0143842	0.102944	0.0928203	0.0212241	0.0138489	0.105594	0.0155545	0.0541163	0.0566831	0.0594889	0.0123021	0.0205741	0.0475623	0.131848	0.00723188	0.191103	0.05046731	-0.009863963	0.0693592	0.000705458	0.0693968	0.0250056	0.0220727	0.00554697	0.0816797	0.0446507	0.156655	0.0982275	0.000884244	0.150944	0.0411587	0.0452172	0.188497	0.4189544	7	50.63409	0.09857951	0.452217	0.773856	1.08441	1.68952	0.259367	0.179745	0.190022	0.100861	0.219451	0.0505534	0.4090905	1.024112
1200	-254.5608	-257.0728	2.512054	0.9039101	3.736749	0.0100773	0.0206473	0.0056258	0.00423024	0.0102723	0.0366921	0.0638436	0.00700251	0.0321532	0.0128183	0.00563659	0.0268047	0.0339819	0.0117096	0.0299985	0.0388865	0.000727478	0.0396498	0.0252572	0.00690375	0.0611608	0.0237588	0.107079	0.0313645	0.0302875	0.0686725	0.0274492	0.001994	0.0160343	0.0712576	0.0869512	0.0138869	0.162585	0.017078	0.0220803	0.00355324	0.00176313	0.0115919	0.0066042	0.00551837	0.0186785	0.0168571	0.0168689	0.0198426	0.154471	0.000198757	0.0123509	0.0490476	0.02756049	-0.02997368	0.0818664	0.0378062	0.0787831	0.0363941	0.0290097	0.0582593	0.100294	0.053322	0.0572829	0.11874	0.0405076	0.128319	0.00200122	0.114925	0.0624897	0.3136921	8	51.35525	0.09614121	0.439289	0.765584	1.08434	1.71079	0.19166	0.186187	0.10623	0.114799	0.286356	0.114768	0.2837184	1.105646
1300	-302.8679	-266.9314	-35.93651	1.44124	2.728418	0.0304594	0.0383241	0.0201214	0.0554869	0.0161487	0.00233478	0.00490707	0.0496259	0.00842304	0.0517555	0.0146582	0.0682109	0.0751851	0.109102	0.0108952	0.0265584	0.000621572	0.0588413	0.00472631	0.020489	0.0604864	0.0371204	0.227478	0.0290374	0.00556035	0.0755842	0.0713182	0.152892	0.0244501	0.134474	0.133106	0.162853	0.184325	0.0020824	0.0528439	0.00784229	0.169889	0.0431121	0.0519864	0.00156234	0.0170993	0.000376788	0.0264575	0.00985026	0.128015	0.0990021	0.0125846	0.0327552	0.05530636	0.006300299	0.0371044	0.00819918	0.0743246	0.140522	0.0393353	0.0225403	0.0623724	0.171942	0.00591091	0.0174751	0.0343023	0.137073	0.0845247	0.0900125	0.0743622	0.555785	4	55.97412	0.04803604	0.367096	0.715289	1.0808	1.83681	0.203365	0.171411	0.246272	0.12693	0.164789	0.0872339	0.5620853	0.9887912
1400	-282.9947	-261.1373	-21.85739	2.568721	1.092509	0.00221276	0.108515	0.0408749	0.174873	0.0588175	0.0198188	0.0296336	0.0145328	0.0265345	0.0873904	0.0660638	0.037907	0.066969	0.075373	0.0262609	0.0420917	0.0203137	0.0196796	0.0171049	0.0157117	0.017322	0.0405293	0.137673	0.0092297	0.0826974	0.000305921	0.0222003	0.0138544	0.0213421	0.164648	0.0629984	0.0142327	0.108317	0.0487088	0.0214521	0.00616363	0.320797	0.0495089	0.00880263	0.172321	0.0204101	0.00722114	0.00343679	0.034552	0.240825	0.0142646	0.0332184	0.011852	0.04951879	0.02401196	0.0491816	0.0158793	0.0743312	0.0331394	0.091024	0.0543426	0.0677094	0.0518367	0.0877712	0.139552	0.0730262	0.148828	0.029759	0.018495	0.0651242	0.5069701	8	53.63116	0.09226787	0.155033	0.502895	1.01378	2.32829	0.189727	0.238995	0.129885	0.11438	0.25243	0.0745825	0.5309821	0.9547782
1500	-286.9498	-262.4977	-24.45202	3.52526	2.77687	0.0272418	0.0540494	2.56394e-05	0.00708276	0.00344694	0.0568528	0.0181372	0.0113934	0.0170739	0.0660647	0.00447765	0.0481725	0.0358366	0.131444	0.0238196	0.0256584	0.111322	0.032592	0.0249185	0.00647017	0.00832945	0.0627573	0.139327	0.0398539	0.0141685	0.0982512	0.0632944	0.074098	0.000546479	0.0969867	0.200674	0.0183558	0.0509544	0.0652882	0.0139411	0.139693	0.0407959	0.0172761	0.00904057	0.0221239	0.0597033	0.0413984	0.0517125	0.00857514	0.00307079	0.173286	0.0725787	0.0152216	0.0502576	0.03752732	0.003213	0.0201518	0.114371	0.0194261	0.0580161	0.0502965	0.122966	0.0453119	0.000253273	0.15111	0.0207156	0.166902	0.0307566	0.0862376	0.110273	0.3370313	10	52.64509	0.0515454	0.371228	0.718374	1.08117	1.82923	0.153681	0.263291	0.160255	0.0617726	0.236863	0.124138	0.3745586	0.8998092
1600	-289.6972	-250.0071	-39.69005	1.501721	6.563711	0.00366168	0.0239672	0.124423	0.0291784	0.0587798	0.113958	0.0548744	0.096163	0.0672375	0.0306588	0.00424521	0.00212862	0.0056244	0.0305139	0.0169336	0.0301847	0.0293788	0.21487	0.0128543	0.00114603	5.17422e-05	0.00210504	0.0709156	0.00490124	0.0850747	0.00171634	0.104624	0.0581699	0.0178255	0.0872505	0.0839124	0.0590749	0.202928	0.0335962	0.0265985	0.085009	0.0844034	0.0124287	0.152438	0.0146922	0.00381336	0.00946791	0.0354073	0.0188721	0.0366638	0.017984	0.0411662	0.000146812	0.05504977	-0.01151526	0.0719106	0.00554992	0.158358	0.0380073	0.0750517	0.00861333	0.0500817	0.0247638	0.0250571	0.225117	0.00762274	0.0939784	0.0602015	0.124276	0.0314105	0.3370399	11	52.6468	0.08919546	0.556397	0.83385	1.07997	1.52978	0.190446	0.21668	0.147364	0.0960064	0.273653	0.0758509	0.3255246	1.035374
1700	-275.9972	-247.6943	-28.30288	4.504212	2.510172	0.0292425	0.0837407	0.0164637	0.0187881	0.0117008	0.0203154	0.027748	0.038699	0.139123	0.00632441	0.00877081	0.0117613	0.00568787	0.149742	0.0312776	0.00267795	0.00477016	0.0977696	0.0223059	0.0458009	0.00108299	0.00306488	0.0722944	0.00473077	0.0100245	0.00828186	0.0804164	0.214106	0.0336501	0.00667271	0.163801	0.0186604	0.00670893	0.021647	0.0285479	0.189642	0.0284068	0.0101917	0.0012537	0.0160452	0.0184545	0.00584933	0.0930659	0.0489733	0.0412366	0.0818282	0.0476702	0.113974	0.03837352	-0.09054664	0.0418621	0.00783078	0.157952	0.0114211	0.0341618	0.0273222	0.0877616	0.0422027	0.135793	0.162018	0.0495325	0.101292	0.0259277	0.035537	0.0793865	0.4499042	8	55.41695	0.04175825	0.347419	0.700209	1.07874	1.87363	0.24592	0.224695	0.108583	0.0975744	0.25989	0.0633379	0.3593576	1.251968
1800	-287.297	-256.6836	-30.61343	5.816079	4.610808	0.000653822	0.00892373	0.0025722	0.0187989	0.0129539	0.0142763	0.0839332	0.00583945	0.0858893	0.0872841	0.0647266	0.0124266	0.0266344	0.0280557	0.10953	0.000564119	0.0472672	0.0975947	0.0123051	0.00224554	0.00263716	0.0467342	0.0489262	0.0109588	0.0182803	0.00160276	0.116277	0.0110219	0.00868856	0.0856755	0.203871	0.018104	0.12975	0.0746183	0.0890584	0.0210693	0.0161318	0.00549805	0.35051	0.114393	0.00800961	0.0654994	0.0124509	0.00679444	0.000481118	0.0626215	0.0528311	0.186089	0.05766798	0.055218	0.0730542	0.00277974	0.0875397	0.033964	0.0377073	0.017044	0.00217564	0.04593	0.0744638	0.310751	0.0535887	0.0417928	0.0262773	0.147988	0.0449436	0.2758439	6	50.37598	0.09268759	0.485064	0.793994	1.08391	1.63704	0.242811	0.313675	0.121381	0.082578	0.171943	0.0676116	0.3310619	0.8332094
1900	-288.2289	-256.4063	-31.82258	1.747274	6.21116	0.00596478	0.0198222	0.0302753	0.021234	0.00511787	0.025924	0.0654119	0.0285054	0.0105612	0.0251586	0.0949606	0.00154013	0.176681	0.0347168	0.0249636	0.0171996	0.0375033	0.19812	0.0938812	0.00996912	0.055007	0.0526416	0.266158	0.0071279	0.00148762	0.0201859	0.0439679	0.0116043	0.0280487	0.179517	0.0649065	0.00529459	0.021856	0.193945	0.058782	0.0197416	0.0260142	0.0119204	0.00578523	0.105015	0.0459287	0.00682277	0.0258466	0.0167853	0.0117423	0.162189	0.0587531	0.0908474	0.0693495	0.03650127	0.10074	0.012577	0.0491846	0.000438489	0.0949367	0.0233841	0.130746	0.00831144	0.0944571	0.0262953	0.0450951	0.0706005	0.0208675	0.203918	0.118448	0.3744931	9	56.50873	0.04573018	0.545737	0.828204	1.08078	1.54528	0.112901	0.245974	0.200921	0.085766	0.264389	0.09005	0.4109943	0.9111879
2000	-271.9695	-254.2741	-17.69544	1.078332	4.331704	2.97901e-06	0.10869	0.00718773	0.0834485	0.021219	0.00488814	0.0505351	0.0156669	0.0179611	0.0985501	0.00427557	0.0372528	0.0772179	0.142104	0.00759834	0.00119286	0.165238	0.0664188	0.0155141	0.0178015	0.0208504	0.0119908	0.118655	0.00442288	0.0164815	0.0392477	0.0287144	0.00745649	0.0189036	0.0303444	0.22256	0.0183862	0.0117701	0.0182948	0.00507949	0.0129741	0.00490818	0.0142627	0.113816	0.178452	0.022114	0.00553223	0.00289662	0.0015516	0.00742956	0.0825655	0.0157506	0.0860671	0.05365474	-0.0230951	0.0157254	0.00139528	0.206551	0.00248427	0.0235771	0.0500136	0.0957592	0.00148593	0.0897939	0.192067	0.059388	0.105196	0.0217496	0.0518429	0.0829708	0.4533485	8	50.28209	0.04932983	0.471705	0.785951	1.08422	1.65812	0.171153	0.318664	0.0979796	0.0549158	0.296337	0.0609503	0.4302534	1.053678
2100	-274.1633	-254.5353	-19.62806	3.165359	4.09263	0.0150148	0.0173699	0.0267148	0.00724203	0.0202814	0.0120794	0.0118118	0.00515078	0.0115666	0.0343105	0.0136713	0.00202242	0.0180166	0.0950136	0.00987404	0.00695847	0.0377638	0.124024	0.0452032	0.0031622	0.00586077	0.104496	0.114631	0.0110377	0.0673874	0.0154567	0.0466161	0.0237185	0.00176674	0.0893429	0.0522929	0.00882464	0.103036	0.0215594	0.010047	0.000893406	0.015395	0.15908	0.0245289	0.0117106	0.0378596	0.0440599	0.0140128	0.0162742	0.110066	0.0568903	0.0269193	0.00229121	0.03921801	-0.08616411	0.0393733	0.00324185	0.17872	0.0581122	0.0165246	0.0200459	0.114222	0.0320372	0.101575	0.0619945	0.000937536	0.12489	0.083219	0.103147	0.0619605	0.7720024	6	50.74795	0.0421298	0.459379	0.778353	1.08438	1.67789	0.156856	0.267359	0.171868	0.120807	0.213466	0.0696435	0.6858383	1.125633
2200	-274.1074	-249.3597	-24.74765	3.07587	4.437281	0.0176759	0.0308812	0.103795	0.0517694	0.0247906	0.1225	0.129612	0.00732557	0.0482701	0.0672937	0.00280176	0.0050968	0.0301338	0.145865	0.0689839	0.00538191	0.00517183	0.0703858	0.0152718	0.0175599	0.000348423	0.123474	0.0613079	0.00361664	0.0242055	0.00447085	0.0170815	0.0167827	0.0263814	0.00263661	0.0255332	0.0114231	0.0195752	0.0148193	0.176439	0.186418	0.0238589	0.151002	0.00414437	0.0636794	0.0024975	0.0220669	0.0160443	0.0559662	0.222694	0.0313937	0.0568294	0.0787981	0.05505347	0.03523832	0.0529616	0.00734644	0.158216	0.0174893	0.0359863	0.0444153	0.00504047	0.0315813	0.149831	0.0964065	0.00379077	0.116089	0.0147102	0.174843	0.0912924	0.3315595	9	51.12738	0.05910928	0.476882	0.789092	1.08412	1.64991	0.199898	0.221902	0.134644	0.0736914	0.293328	0.0765373	0.3667979	0.9039299
2300	-283.6103	-262.2621	-21.34821	3.617048	3.469925	0.0375837	0.0153253	0.00349779	0.029615	0.00868933	0.0705225	0.00775041	0.00482185	0.0159388	0.00729924	0.0216278	0.00205551	0.0628353	0.157494	0.00443626	0.250885	0.0319556	0.102911	0.0273912	0.0241381	0.00666089	0.130081	0.0735025	0.0059091	0.0118019	0.00112176	0.00839393	0.0135616	0.0157717	0.100949	0.104328	0.0145604	0.0459528	0.0237919	0.00322618	0.078923	0.0169251	0.00647908	0.00974404	0.00225683	0.0123063	0.0142035	0.0480069	0.0213549	0.184622	0.0207033	3.61951e-05	0.0143878	0.04223286	-0.02580313	0.0451537	0.0253765	0.169523	0.00678176	0.0606339	0.0229782	0.156787	0.0376178	0.0780724	0.0362989	0.0563458	0.185971	0.0716438	0.0205018	0.0263142	0.7771858	8	55.1433	0.03506393	0.422638	0.754622	1.08402	1.73872	0.148579	0.301184	0.170419	0.104673	0.15591	0.119235	0.7513827	1.034341
2400	-271.7247	-255.1048	-16.6199	1.539849	4.713234	0.0290223	0.0407698	0.00482171	0.0267836	0.134947	0.0235509	0.119018	0.0178808	0.0240817	0.00287619	0.00417215	0.00707689	0.00345374	0.0311417	0.0323797	0.0322421	0.00251264	0.00191862	0.00357173	0.0158093	0.073231	0.00478923	0.0783162	0.0835279	0.0145859	0.0120661	0.0346264	0.00884081	0.0152624	0.0834037	0.112925	0.0194694	0.267296	0.0338984	0.0277041	0.0429039	0.066471	0.0949089	0.000460792	0.00163898	0.0260107	0.0304546	0.0488154	0.0259854	0.0922649	0.0202956	0.00279528	0.0821617	0.03803666	-0.1291303	0.0795612	0.00866707	0.103694	0.0140752	0.0421232	0.0263462	0.126446	0.0338684	0.0690551	0.0747654	0.0232896	0.0604972	0.0189369	0.283917	0.0347566	0.4746106	10	51.73737	0.07566292	0.489713	0.796748	1.08376	1.62978	0.152938	0.211993	0.17353	0.10107	0.331151	0.0293181	0.3454804	1.37377
