Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
1000	-213.0778	-231.9122	18.83444	13.49734	0.8683378	0.0646422	0.479648	0.112886	0.0104161	0.00279367	0.0107	0.089421	0.0412986	0.0151724	0.0233755	0.0575682	0.0767131	0.0544625	0.0485945	0.07503446	0.02456669	0.0181454	0.00322425	0.101147	0.0539273	0.142763	0.00906524	0.022222	0.0967027	0.0632094	0.242476	0.000291338	0.000469101	0.0339833	0.0909096	0.121465	0.09426162	13.49734	0.109996	0.433259	0.97423	2.48252	0.0961334	0.153268	0.323355	0.0715113	0.283625	0.0721076	0.1188283	0.7932589
1100	-202.0562	-233.0125	30.95632	34.09953	1.017146	0.00302141	0.0459609	0.0709363	0.031576	0.0258568	0.038303	0.0703442	0.00653378	0.000805713	0.0812703	0.0042449	0.0434584	0.00926369	0.0689082	0.03790018	0.05605243	0.00319292	0.093949	0.214284	0.0561526	0.132384	0.0143338	0.135862	0.0278066	0.132973	0.0670272	0.00797265	0.00229202	0.00267897	0.0659297	0.0431613	0.002468736	34.09953	0.140362	0.481846	1.00278	2.37501	0.186474	0.13453	0.231	0.0551539	0.246775	0.146067	0.05852117	0.04218535
1200	-221.198	-235.8101	14.61219	16.01989	0.9641191	0.0324454	0.14588	0.163362	0.0742011	0.0322858	0.174547	0.2247	0.047398	0.196507	0.0804536	0.120884	0.0413417	0.0848178	0.307837	0.1599671	0.07847465	0.127229	0.015852	0.0300074	0.10414	0.0769495	0.0030666	0.142491	0.0279749	0.012553	0.0757885	0.00161702	0.00534636	0.0305098	0.0635872	0.282888	0.04981898	16.01989	0.12974	0.465695	0.993791	2.41077	0.154854	0.15046	0.312555	0.0672293	0.224484	0.090417	0.1282936	0.38832
1300	-215.3311	-232.7594	17.42835	11.07248	2.757436	0.0430531	0.166486	0.106244	0.0600156	0.138291	0.0470792	0.18191	0.138125	0.222952	0.0578203	0.0961509	0.0122983	0.214385	0.0231733	0.1378138	0.07430856	0.117861	0.029323	0.0146756	0.00895121	0.197508	0.0218904	0.0287053	0.0250641	0.0787135	0.15603	0.00752734	0.0262959	0.0123284	0.0536929	0.221433	0.004857617	11.07248	0.36958	0.717147	1.08102	1.83225	0.106561	0.207661	0.215078	0.0884601	0.26676	0.11548	0.07916618	0.06135974
1400	-223.5828	-239.597	16.01421	16.02952	1.654449	0.0107911	0.217558	0.0331528	0.0630928	0.0266885	0.0934975	0.00935801	0.0810254	0.166558	0.116886	0.0953277	0.0375206	0.0383784	0.0166076	0.1154992	0.07479893	0.166496	0.0577752	0.0780811	0.04072	0.0835632	0.00264005	0.0177043	0.0706096	0.0699381	0.0286422	0.00663619	0.00106364	0.0114335	0.0382409	0.326456	0.09429122	16.02952	0.248226	0.612397	1.05834	2.08104	0.136582	0.135124	0.265515	0.0248141	0.29506	0.142905	0.1690902	0.5576387
1500	-220.5676	-235.6104	15.04278	11.64177	1.553123	0.0646249	0.217521	0.000166552	0.100825	0.0577171	0.0221374	0.0430745	0.233956	0.508656	0.043116	0.27852	0.0354114	0.00955029	0.0725797	0.1499204	0.05617142	0.133575	0.0307973	0.0201088	0.0557203	0.000402948	0.0042603	0.266716	0.00055867	0.102742	0.0742586	0.00384189	0.0176869	0.00605493	0.0667679	0.216508	0.00839187	11.64177	0.233413	0.597166	1.05339	2.11603	0.104017	0.219058	0.246983	0.0854453	0.231985	0.112511	0.06456329	0.129979
1600	-210.3423	-236.1716	25.82925	62.96351	2.053417	0.00493863	0.0211732	0.0104757	0.0200196	0.00368734	0.0440877	0.0978514	0.0617668	0.0287956	0.012183	0.00130925	0.0435952	0.0129103	0.0123184	0.04396366	-0.003464438	0.00250915	0.0155025	0.0428437	0.160875	0.0124112	0.0054388	0.00453733	0.0126952	0.148227	0.0917582	0.0119404	0.0165834	0.238214	0.0198858	0.216578	0.0209827	62.96351	0.299569	0.660576	1.07127	1.96858	0.114125	0.141066	0.256236	0.0715561	0.297656	0.11936	0.01751826	1.197761
1700	-205.3265	-235.948	30.62144	125.7444	0.9081491	0.0684943	0.00399636	0.022652	0.00704656	0.00948531	0.0342279	0.0159828	0.0105203	0.00558138	0.0152694	0.0184089	0.00534826	0.0126784	0.031511	0.02219721	0.008848531	0.0156147	0.105077	0.101216	0.00517157	0.0724499	0.00755308	0.0306317	0.0468441	0.153398	0.115485	0.0134882	0.117852	0.0429854	0.0465844	0.125648	0.007012396	125.7444	0.118282	0.447289	0.982941	2.45149	0.1565	0.166488	0.21448	0.0600215	0.285328	0.117182	0.01586093	0.4421177
1800	-241.0422	-244.761	3.718828	48.11195	0.1634862	0.267769	0.0749942	0.02741	0.0778026	0.0724595	0.213951	0.453687	0.142283	0.056458	0.0564519	0.481872	0.465912	0.168274	0.0166027	0.1597077	0.0183627	0.0305364	0.0754357	0.177846	0.0284009	0.059846	0.0263204	0.00724014	0.146658	0.0578464	0.0421966	0.00423527	0.0993893	0.197367	0.0321089	0.0145732	0.002171198	48.11195	0.000113541	0.0157106	0.282027	3.70215	0.196628	0.19335	0.193752	0.0644911	0.209643	0.142136	0.0205339	0.1057372
1900	-229.2749	-233.0919	3.81693	13.31864	0.329884	0.156537	0.172039	0.072249	0.026335	0.225156	0.413497	1.08701	0.37391	0.315323	0.00437958	0.0246003	0.220809	0.0624037	0.0354363	0.2441061	0.1397794	0.072504	0.0383705	0.0100435	0.0596718	0.0970064	0.00125612	0.0243568	0.0566376	0.211219	0.0965478	0.0041556	0.00144878	0.0626308	0.260242	0.00390899	0.06251914	13.31864	0.00802975	0.127854	0.642739	3.22138	0.189077	0.139983	0.209897	0.0485695	0.291134	0.121341	0.2022985	0.3090439
2000	-211.394	-237.5884	26.19443	25.25212	0.6292735	0.0116827	0.0560461	0.209785	0.138569	0.0210084	0.0265991	0.00493783	0.00267827	0.0358785	0.00584271	0.0156495	0.0615335	0.0423148	0.0296516	0.03660728	0.05866047	0.0570368	0.0952604	0.105779	0.219856	0.0320638	0.0155372	0.0166432	0.0951856	0.128675	0.0826292	0.0118831	0.00295127	0.0256567	0.0536389	0.0572035	0.05842045	25.25212	0.0591964	0.328158	0.895549	2.7171	0.167274	0.107122	0.222235	0.0549731	0.249654	0.198743	0.1170809	0.498975
2100	-215.7095	-236.4084	20.69889	46.9871	0.4033619	0.0847011	0.110845	0.0791982	0.0124399	0.0888724	0.0329512	0.263872	5.90914e-05	0.000608081	0.0613413	0.0107883	0.0144692	0.0293041	0.0183663	0.06988741	0.03226651	0.00326777	0.0238742	0.146892	0.00121391	0.0892943	0.0393782	0.121003	0.0448886	0.0173783	0.400085	0.00738111	0.00182511	0.0159506	0.0252439	0.0623239	0.001727318	46.9871	0.0172024	0.184263	0.734893	3.06364	0.209548	0.175405	0.20757	0.0594967	0.270611	0.07737	0.03399383	0.0508127
2200	-225.2632	-235.0145	9.751213	11.10089	1.894519	0.114184	0.0625789	0.438033	0.0246792	0.155476	0.259544	0.0525586	0.00371081	0.0287951	0.606182	0.115855	0.458861	0.091057	0.155444	0.2291157	0.07840929	0.0676697	0.0568003	0.232251	0.0652707	0.148349	0.00545227	0.00115209	0.0113396	0.108352	0.100668	0.0330883	0.0710998	0.0278384	0.019158	0.0515108	0.003257468	11.10089	0.28035	0.643307	1.06711	2.00923	0.164902	0.212112	0.209967	0.0517356	0.196515	0.164769	0.08166676	0.03988732
2300	-212.3325	-237.7679	25.43538	30.81623	1.975085	0.0971173	0.0181474	0.0499512	0.0114732	0.00805442	0.00241842	0.012134	0.0329124	0.000842846	0.0698664	0.0624589	0.15531	0.0308889	0.0107145	0.04954966	0.03384286	0.113797	0.086703	0.0216266	0.0924635	0.105021	0.00631248	0.113047	0.0746118	0.0292552	0.00702985	0.0162813	0.00321251	0.13602	0.144632	0.0499871	0.02613989	30.81623	0.290282	0.652338	1.06935	1.98803	0.185433	0.190323	0.275493	0.0393173	0.238314	0.0711194	0.05998275	0.4357901
2400	-238.1631	-235.2041	-2.959021	13.02188	1.803384	0.165133	0.3017	0.379592	0.264983	0.335936	0.329903	0.326729	0.16705	0.1161	0.0219606	0.824303	0.0604285	1.19715	0.25049	0.3773491	0.08222281	0.345095	0.00261151	0.0371406	0.0708197	0.0378254	0.0015341	0.00713725	0.157575	0.0560193	0.073384	0.00103903	0.0234979	0.00573362	0.138393	0.0421937	0.04270318	13.02188	0.268619	0.632333	1.06419	2.03486	0.146961	0.176886	0.251062	0.0766848	0.257179	0.0912277	0.124926	0.3418278
2500	-217.6622	-239.9285	22.26628	28.89642	2.307415	0.0582964	0.00787879	0.0112291	0.0781025	0.00657796	0.00829795	0.0435532	0.0519014	0.160642	0.0294856	0.0689332	0.101131	0.033815	0.0152413	0.04623258	0.04089722	0.0189573	0.126744	0.101177	0.10047	0.232414	0.0240935	0.125184	0.0547987	0.0168908	0.0907946	0.000410901	0.0129089	0.00942982	0.000661938	0.0850646	0.03739874	28.89642	0.327403	0.684172	1.07607	1.91235	0.0814614	0.229762	0.23392	0.0536561	0.295364	0.105836	0.07829596	0.4776586
2600	-225.9845	-236.0994	10.11493	26.23291	0.7405998	0.223389	0.223753	0.242347	0.106463	0.0217258	0.208556	0.0263904	0.0834836	0.0279632	0.0658187	0.321999	0.0279687	0.0840655	0.190163	0.1340334	0.1001754	0.00481194	0.0622971	0.0458229	0.0170704	0.280722	0.0272186	0.0192464	0.0002531	0.0363839	0.120206	0.0312428	0.00916679	0.00805232	0.11859	0.218916	0.06405387	26.23291	0.082873	0.382073	0.939032	2.59602	0.130596	0.203892	0.200195	0.0720749	0.260741	0.1325	0.1642293	0.3900271
2700	-206.1227	-229.116	22.99331	22.11648	1.983155	0.0370199	0.0386766	0.0735703	0.115007	0.0720824	0.00452849	0.12266	0.14167	0.0252185	0.00997208	0.0389392	0.0602312	0.0612059	0.110913	0.07496335	0.0597183	0.0340275	0.0119878	0.0661946	0.0633511	0.0822395	9.96767e-05	0.0874695	0.0324764	0.132116	0.111848	0.0213541	0.0125254	0.0209605	0.262831	0.0605191	0.01024081	22.11648	0.291256	0.65321	1.06956	1.98597	0.133432	0.222793	0.245701	0.0490976	0.245143	0.103834	0.0699591	0.1463828
2800	-217.9006	-233.9487	16.0481	12.96025	0.5278504	0.237125	0.0124369	0.0504187	0.236067	0.194997	0.343295	0.188086	0.0280036	0.0758892	0.136186	0.00111209	0.00640046	0.251056	0.0212896	0.1439548	0.1006472	0.0737618	0.00932637	0.0734761	0.0714716	0.185238	0.0223214	0.0132357	0.0881366	0.0853815	0.0605132	0.00905374	0.00400515	0.0490754	0.142149	0.112855	0.01469306	12.96025	0.0386586	0.269709	0.839521	2.85211	0.137567	0.199158	0.274952	0.0494299	0.234943	0.10395	0.1153402	0.1273888
2900	-212.349	-235.5685	23.21954	118.0153	0.7997653	0.0159339	0.0209353	0.00189208	0.1794	0.00149548	0.0578476	0.0277523	0.00638256	0.0875319	0.0248281	0.00562623	0.0252979	0.0144669	0.0585935	0.0301713	0.0188876	0.292229	0.0521665	0.0571211	0.00864274	0.138903	0.0196359	0.0343889	0.0608376	0.0115193	0.157906	0.0192324	0.0179727	0.0229851	0.0603825	0.0460782	0.007399066	118.0153	0.0955088	0.40704	0.95689	2.54056	0.175263	0.206793	0.177899	0.10642	0.245054	0.088571	0.02628667	0.281476
3000	-209.4233	-232.6587	23.2353	16.46654	1.017177	0.0198138	0.168342	0.0716954	0.107737	0.138814	0.0833134	0.0373191	0.0159515	0.0269357	0.0633943	0.0375107	0.110766	0.0840476	0.0357456	0.08193065	0.09404762	0.0938271	0.0223286	0.095397	0.0001708	0.0895055	0.00246862	0.00602458	0.08412	0.198437	0.343701	0.00103264	0.0386582	0.007251	0.00568693	0.0113909	0.005271345	16.46654	0.140368	0.481854	1.00279	2.37499	0.115393	0.15231	0.356072	0.0555466	0.219366	0.101312	0.09931897	0.05307491
3100	-207.7026	-231.5066	23.80403	16.94941	3.316126	0.0327399	0.0445119	0.0681252	0.0364426	0.036327	0.0982497	0.0529124	0.0305062	0.0305108	0.0861231	0.0635416	0.0418723	0.123196	0.0227049	0.04531006	0.1092854	0.117429	0.0100396	0.0739941	0.133947	0.11168	0.0159368	0.0109199	0.028411	0.130873	0.0307917	0.00104476	0.0229766	0.0616781	0.168397	0.0818809	0.0005323428	16.94941	0.41233	0.747654	1.08369	1.75633	0.17298	0.179555	0.295704	0.0280643	0.254303	0.0693933	0.1098177	0.004847513
3200	-194.3168	-230.7792	36.46235	88.22305	1.094383	0.0138336	0.0158287	0.0111241	0.00101634	0.0350794	0.0139096	0.0148524	0.012343	0.0279928	0.0144573	0.00787307	0.0236437	0.00393585	0.00165875	0.0109383	0.01392547	0.198634	0.0394185	0.155538	0.0484999	0.0410292	0.00620916	0.0371621	0.041982	0.0820083	0.122582	0.00940207	0.00387108	0.0395927	0.0207199	0.153351	0.01605373	88.22305	0.155392	0.503392	1.01403	2.32718	0.12127	0.150138	0.273222	0.0724356	0.238196	0.144739	0.0299792	0.5354956
3300	-224.108	-247.1268	23.01889	83.78129	0.6566619	0.00352813	0.0136115	0.0582391	0.0249859	0.159429	0.0073965	0.0460408	0.0300234	0.0167125	0.00321647	0.126694	0.0337315	0.000981196	0.00248023	0.02924517	0.0214885	0.183255	0.0629824	0.0822987	0.00931733	0.135098	0.01998	0.0223938	0.0537378	0.0621258	0.112092	0.0420747	0.0517786	0.0706737	0.00902806	0.0831647	0.008145853	83.78129	0.0649665	0.342344	0.907685	2.685	0.214643	0.126765	0.228013	0.122708	0.148016	0.159856	0.02963435	0.2748787
3400	-219.1485	-238.7163	19.56777	26.63811	0.8697769	0.0372675	0.24606	0.000560144	0.00429949	0.13722	0.034911	0.127155	0.00127471	0.0133313	0.0561487	0.0180451	0.122437	0.00257036	0.105412	0.07314467	0.06751471	0.244923	0.128612	0.0125032	0.0674827	0.118972	0.021024	0.110882	0.0133528	0.000574518	0.0823927	0.0384683	0.0298298	0.034824	0.0531608	0.0429988	0.01859631	26.63811	0.110297	0.43378	0.97456	2.48136	0.13992	0.202957	0.203798	0.0654741	0.219333	0.168519	0.08611102	0.2159573
3500	-245.3855	-239.2147	-6.17077	3.481007	0.3035923	0.273128	0.187192	0.578475	0.453328	0.194541	1.27363	0.370959	0.586173	0.967104	0.043725	0.874783	0.95606	0.947317	1.43196	0.585654	0.1283961	0.00512322	0.00606045	0.0546932	0.0468063	0.220849	0.00776276	0.0390916	0.0854694	0.125766	0.115054	0.0181579	0.00447767	0.0493944	0.159122	0.0621728	0.06660938	3.481007	0.00559123	0.107292	0.601787	3.28533	0.112732	0.141722	0.260177	0.083188	0.291518	0.110662	0.1950055	0.341577
3600	-219.2261	-230.8524	11.62629	12.06588	1.32594	0.19923	0.0267114	0.0629182	0.010961	0.0278685	0.305288	0.211909	0.00805004	0.0069476	0.439179	0.0679909	0.228479	0.365616	0.0377909	0.1093404	0.03567945	0.0637639	0.0318806	0.103542	0.0203074	0.155723	0.0108304	0.00716354	0.125999	0.180825	0.112943	0.00187967	0.00475631	0.0636018	0.0523448	0.0644395	0.04341857	12.06588	0.197139	0.556764	1.03832	2.20777	0.11895	0.176358	0.247888	0.0874961	0.294977	0.0743309	0.07909802	0.5489211
3700	-221.9451	-237.6262	15.68108	10.78479	0.447689	0.0613745	0.120501	0.129022	0.472434	0.142103	0.0817216	0.364404	0.0528642	0.161348	0.00725343	0.0309317	0.0318001	0.203855	0.00857203	0.1096594	0.07847619	0.0442365	0.0288733	0.0273384	0.0237504	0.0591896	0.00998331	0.0691888	0.0599659	0.165669	0.0668986	0.0057345	0.0077407	0.176184	0.231291	0.0239557	0.003974359	10.78479	0.0241522	0.216401	0.77813	2.98132	0.183564	0.135221	0.205533	0.0763437	0.306831	0.0925082	0.08245055	0.04820295
3800	-204.6756	-237.0688	32.39319	69.72429	0.4835176	0.00793844	0.0179516	0.00922503	0.0160683	0.0233068	0.000170129	0.0486771	0.0126809	0.0227582	0.0412565	0.0241066	0.0526913	0.00248696	0.00285005	0.03444511	0.0113552	0.0853286	0.0335372	0.0242447	0.122396	0.054552	0.00571195	0.00155413	0.1488	0.218141	0.0306784	0.00323742	0.00601081	0.00218191	0.209997	0.0536295	0.003159396	69.72429	0.030375	0.24102	0.807895	2.92071	0.0959221	0.157691	0.266799	0.117881	0.219353	0.142353	0.01451459	0.2176703
3900	-214.4729	-233.7528	19.27988	27.42458	3.251651	0.123759	0.0279551	0.00477533	0.00741864	0.0625177	0.0213233	0.109498	0.0736646	0.029801	0.0948542	0.0229233	0.0303326	0.0207064	0.0929051	0.05907433	0.0006355648	0.15382	0.0201991	0.0720577	0.175543	0.204473	0.0110757	0.054098	0.0699705	0.0428054	0.0379194	0.0105003	0.00830817	0.00598016	0.103188	0.0300625	0.04472955	27.42458	0.407839	0.744574	1.0835	1.76408	0.141428	0.146084	0.338926	0.0568941	0.170641	0.146028	0.04536511	0.98599
4000	-199.0216	-232.4596	33.43799	63.45035	2.61792	0.0235077	0.0134026	0.015222	0.0399234	0.0038969	0.00144946	0.0618042	0.00800552	0.00785172	0.0633913	0.00938116	0.0136352	0.0010497	0.000799304	0.01694138	0.02952404	0.0562803	0.0503556	0.178977	0.0121103	0.272796	0.0366547	0.0370288	0.0228572	0.0559512	0.0877738	0.000906076	0.00699106	0.0354002	0.0378586	0.108059	0.0003473655	63.45035	0.357359	0.707908	1.07985	1.85488	0.187329	0.121928	0.270777	0.0792718	0.253216	0.0874786	0.02987141	0.0116287
4100	-213.5714	-237.5422	23.9708	105.1892	0.4823314	0.020962	0.0224789	0.0270834	0.0300508	0.0300776	0.0350574	0.105441	0.0181526	0.0243865	0.0205581	0.031013	0.0267666	0.043823	0.0085965	0.02487589	0.01595983	0.124436	0.107498	0.0663264	0.0739401	0.00232164	0.0125711	0.0563529	0.182369	0.0206499	0.197297	0.0346839	0.025399	0.00739067	0.00952405	0.0792403	0.01445053	105.1892	0.0301615	0.240225	0.806974	2.92264	0.129022	0.125227	0.270963	0.0836043	0.267837	0.123348	0.03041037	0.4751845
4200	-204.4802	-229.5791	25.0989	99.34692	0.9781355	0.0102932	0.0306786	0.0481719	0.0177722	0.0096394	0.068289	0.0862813	0.03415	0.0150314	0.0415638	0.00795306	0.0235275	0.0281597	0.00517	0.02674763	0.005992816	0.0148665	0.103916	0.0431084	0.0754465	0.135498	0.0330658	0.0105009	0.0245916	0.0714766	0.0966661	0.000748818	0.0124197	0.0119975	0.238744	0.126953	0.01751043	99.34692	0.132571	0.47008	0.996281	2.40107	0.151967	0.15811	0.234993	0.0570277	0.320396	0.0775068	0.02350324	0.7450218
4300	-204.4131	-229.8316	25.41855	45.40156	1.825827	0.0294767	0.0462141	0.0429111	0.056714	0.0296979	0.0222895	0.0357252	0.0171421	0.0311683	0.0498312	0.0405695	0.0534406	0.0689738	0.00558192	0.04229211	0.01442762	0.125469	0.0142671	0.0650355	0.0186226	0.140283	0.000870943	0.145063	0.0198337	0.099781	0.0661309	0.00116124	0.00290228	0.000630348	0.119804	0.180145	0.001422219	45.40156	0.271558	0.635115	1.06495	2.02838	0.122098	0.212404	0.257601	0.0691347	0.223955	0.114807	0.01584984	0.0897308
4400	-215.7895	-231.2647	15.47522	25.21699	2.538297	0.216573	0.012775	0.262405	0.147875	0.03204	0.118523	0.0170407	0.10464	0.00340203	0.0203627	0.11988	0.00329163	0.0157151	0.146094	0.07758932	0.07727271	0.187065	0.0216508	0.0362875	0.120625	0.144067	0.00525996	0.053733	0.0519104	0.141819	0.0481796	0.0178099	0.00631849	0.0375655	0.0668986	0.0608106	0.07633119	25.21699	0.350058	0.70227	1.07905	1.86862	0.128107	0.165327	0.283023	0.0379271	0.248804	0.136812	0.1536039	0.4969352
4500	-232.1666	-237.4273	5.260682	34.59034	0.5751305	0.183351	0.0296325	0.290317	0.0201006	0.142881	0.157851	0.210242	0.142714	0.0389309	0.819732	0.217309	0.370822	0.0213653	0.0622793	0.253741	0.06703047	0.0844906	0.105903	0.151801	0.0417099	0.0478701	0.0375558	0.0314883	0.0709748	0.0686408	0.14867	0.0370008	0.0107393	0.025147	0.0527085	0.0852999	0.009218219	34.59034	0.0480226	0.298162	0.868081	2.78573	0.136507	0.183723	0.192939	0.120711	0.255416	0.110704	0.07624869	0.1208968
4600	-230.0701	-238.4747	8.404549	6.045067	5.751004	0.00254012	0.468519	0.0431428	0.66012	0.0842293	0.0093655	0.309358	0.184135	0.0422613	0.133164	0.0797004	0.189104	0.120243	0.212911	0.2133742	0.1430033	0.321018	0.0589245	0.0837605	0.0247242	0.141418	0.0343688	0.0179245	0.0290188	0.0965427	0.0780477	0.00125397	0.0234513	0.0193607	0.0193951	0.0507907	0.003146317	6.045067	0.530566	0.819987	1.08181	1.56764	0.0926815	0.17248	0.282733	0.0749868	0.264555	0.112565	0.1461496	0.02152806
